id,left,top,right,bottom,Area,OBJECTID,Ecoregion,Shape_Leng,Shape_Le_1,Shape_Area,fid,cat,x,y
"627",15.86909,55.56423,15.96909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,55.514
"628",15.86909,55.46423,15.96909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,55.414
"629",15.86909,55.36423,15.96909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,55.314
"630",15.86909,55.26423,15.96909,55.16423,70862927.576,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.919,55.214
"662",15.96909,56.26423,16.06909,56.16423,69086865.992,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,56.214
"663",15.96909,56.16423,16.06909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,56.114
"664",15.96909,56.06423,16.06909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,56.014
"665",15.96909,55.96423,16.06909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,55.914
"666",15.96909,55.86423,16.06909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,55.814
"667",15.96909,55.76423,16.06909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,55.714
"668",15.96909,55.66423,16.06909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,55.614
"669",15.96909,55.56423,16.06909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,55.514
"670",15.96909,55.46423,16.06909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,55.414
"671",15.96909,55.36423,16.06909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.019,55.314
"702",16.06909,56.46423,16.16909,56.36423,68728992.094,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.119,56.414
